"Alba";"Arti";"BCG ( Alt produs )";"1";"4";"2016"
"Alba";"Arti";"Euvax";"1";"4";"2016"
"Alba";"Arti";"Hexacima";"1";"4";"2016"
"Alba";"Asinip";"BCG ( Alt produs )";"1";"4";"2016"
"Alba";"Asinip";"Diftavax";"1";"4";"2016"
"Alba";"Asinip";"DTCoq";"1";"4";"2016"
"Alba";"Asinip";"Euvax";"3";"4";"2016"
"Alba";"Asinip";"Pentaxim";"4";"4";"2016"
"Alba";"Asinip";"Priorix";"1";"4";"2016"
"Alba";"Avram Iancu";"BCG ( Alt produs )";"2";"4";"2016"
"Alba";"Avram Iancu";"Engerix B";"1";"4";"2016"
"Alba";"Avram Iancu";"Euvax";"1";"4";"2016"
"Alba";"Bagau";"Diftavax";"1";"4";"2016"
"Alba";"Bagau";"Hexacima";"2";"4";"2016"
"Alba";"Bagau";"M-M-RVAXPRO";"2";"4";"2016"
"Alba";"Bagau";"Tetraxim";"1";"4";"2016"
"Alba";"Bai";"M-M-RVAXPRO";"1";"4";"2016"
"Alba";"Baia de Aries";"BCG ( Alt produs )";"1";"4";"2016"
"Alba";"Baia de Aries";"Euvax";"1";"4";"2016"
"Alba";"Baia de Aries";"Hexacima";"10";"4";"2016"
"Alba";"Baia de Aries";"M-M-RVAXPRO";"11";"4";"2016"
"Alba";"Balcaciu";"BCG ( Alt produs )";"4";"4";"2016"
"Alba";"Balcaciu";"Diftavax";"2";"4";"2016"
"Alba";"Balcaciu";"Euvax";"4";"4";"2016"
"Alba";"Balcaciu";"Hexacima";"13";"4";"2016"
"Alba";"Balcaciu";"M-M-RVAXPRO";"11";"4";"2016"
"Alba";"Balomiru de Cimp";"Hexacima";"2";"4";"2016"
"Alba";"Balomiru de Cimp";"M-M-RVAXPRO";"2";"4";"2016"
"Alba";"Barabant";"BCG ( Alt produs )";"1";"4";"2016"
"Alba";"Barabant";"Euvax";"1";"4";"2016"
"Alba";"Barabant";"Hexacima";"9";"4";"2016"
"Alba";"Barabant";"M-M-RVAXPRO";"18";"4";"2016"
"Alba";"Barabant";"Varilrix";"1";"4";"2016"
"Alba";"Beldiu";"Hexacima";"1";"4";"2016"
"Alba";"Benic";"Hexacima";"5";"4";"2016"
"Alba";"Benic";"M-M-RVAXPRO";"1";"4";"2016"
"Alba";"Berghin";"BCG ( Alt produs )";"1";"4";"2016"
"Alba";"Berghin";"Euvax";"1";"4";"2016"
"Alba";"Berghin";"Hexacima";"7";"4";"2016"
"Alba";"Berghin";"M-M-RVAXPRO";"5";"4";"2016"
"Alba";"Beta";"BCG - Cantacuzino";"1";"4";"2016"
"Alba";"Beta";"Engerix B";"1";"4";"2016"
"Alba";"Beta";"Hexacima";"1";"4";"2016"
"Alba";"Beta";"M-M-RVAXPRO";"2";"4";"2016"
"Alba";"Beta";"Tetraxim";"1";"4";"2016"
"Alba";"Biia";"BCG - Cantacuzino";"1";"4";"2016"
"Alba";"Biia";"Diftavax";"3";"4";"2016"
"Alba";"Biia";"Engerix B";"1";"4";"2016"
